Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR12007859_GSM4615008_transcripts_quant	82.3%	8.8			
SRR12007859_pass			39.1%	50%	10.7
SRR12007860_GSM4615008_transcripts_quant	82.3%	9.0			
SRR12007860_pass			35.0%	51%	10.9
SRR12007861_GSM4615011_transcripts_quant	79.7%	9.2			
SRR12007861_pass			38.4%	51%	11.5
SRR12007862_GSM4615011_transcripts_quant	79.7%	9.4			
SRR12007862_pass			34.4%	52%	11.7
SRR12007863_GSM4615014_transcripts_quant	84.4%	11.0			
SRR12007863_pass			40.2%	51%	13.0
SRR12007864_GSM4615014_transcripts_quant	84.4%	11.2			
SRR12007864_pass			36.1%	51%	13.2
SRR12007865_GSM4615016_transcripts_quant	84.2%	10.3			
SRR12007865_pass			41.6%	51%	12.3
SRR12007866_GSM4615016_transcripts_quant	84.2%	10.5			
SRR12007866_pass			37.2%	51%	12.5
SRR12007867_GSM4615019_transcripts_quant	79.8%	9.4			
SRR12007867_pass			38.1%	51%	11.7
SRR12007868_GSM4615019_transcripts_quant	79.8%	9.6			
SRR12007868_pass			34.5%	51%	12.0
SRR12007869_GSM4615022_transcripts_quant	80.5%	8.5			
SRR12007869_pass			35.9%	51%	10.6
SRR12007870_GSM4615022_transcripts_quant	80.5%	8.6			
SRR12007870_pass			31.7%	51%	10.7
SRR12007871_GSM4615025_transcripts_quant	79.4%	8.5			
SRR12007871_pass			36.1%	51%	10.8
SRR12007872_GSM4615025_transcripts_quant	79.3%	8.7			
SRR12007872_pass			32.0%	51%	10.9
SRR12007873_GSM4615027_transcripts_quant	84.6%	11.6			
SRR12007873_pass			42.9%	50%	13.7
SRR12007874_GSM4615027_transcripts_quant	84.6%	11.8			
SRR12007874_pass			38.6%	51%	13.9
SRR12007875_GSM4615030_transcripts_quant	85.3%	10.1			
SRR12007875_pass			42.2%	51%	11.8
SRR12007876_GSM4615030_transcripts_quant	85.3%	10.3			
SRR12007876_pass			38.0%	51%	12.1
SRR12007877_GSM4615032_transcripts_quant	82.1%	8.5			
SRR12007877_pass			38.9%	50%	10.3
SRR12007878_GSM4615032_transcripts_quant	82.1%	8.6			
SRR12007878_pass			35.1%	50%	10.5
SRR12007879_GSM4615033_transcripts_quant	79.4%	8.2			
SRR12007879_pass			37.6%	51%	10.3
SRR12007880_GSM4615033_transcripts_quant	79.4%	8.3			
SRR12007880_pass			34.0%	51%	10.5
SRR12007881_GSM4615034_transcripts_quant	81.7%	10.3			
SRR12007881_pass			37.9%	50%	12.6
SRR12007882_GSM4615034_transcripts_quant	81.6%	10.6			
SRR12007882_pass			33.5%	50%	13.0
SRR12007883_GSM4615035_transcripts_quant	78.6%	9.7			
SRR12007883_pass			38.9%	51%	12.4
SRR12007884_GSM4615035_transcripts_quant	78.6%	9.9			
SRR12007884_pass			35.4%	51%	12.7
SRR12007885_GSM4615036_transcripts_quant	83.5%	9.3			
SRR12007885_pass			40.2%	50%	11.2
SRR12007886_GSM4615036_transcripts_quant	83.5%	9.5			
SRR12007886_pass			35.7%	50%	11.4
SRR12007887_GSM4615037_transcripts_quant	82.1%	9.6			
SRR12007887_pass			39.4%	50%	11.7
SRR12007888_GSM4615037_transcripts_quant	82.1%	9.8			
SRR12007888_pass			35.6%	50%	11.9
