Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR22002277_pass_1			59.8%	49%	67.4
SRR22002277_pass_2			59.4%	49%	67.4
SRR22002278_GSM6665932_transcripts_quant	73.2%	45.3			
SRR22002278_pass_1			61.4%	49%	61.9
SRR22002278_pass_2			60.8%	49%	61.9
SRR22002279_GSM6665931_transcripts_quant	55.8%	38.0			
SRR22002279_pass_1			51.0%	48%	68.1
SRR22002279_pass_2			49.9%	48%	68.1
SRR22002280_GSM6665930_transcripts_quant	81.6%	52.3			
SRR22002280_pass_1			66.1%	50%	64.1
SRR22002280_pass_2			65.0%	50%	64.1
SRR22002281_GSM6665929_transcripts_quant	80.2%	43.4			
SRR22002281_pass_1			60.6%	50%	54.2
SRR22002281_pass_2			60.1%	50%	54.2
SRR22002282_GSM6665928_transcripts_quant	69.6%	41.9			
SRR22002282_pass_1			53.6%	47%	60.1
SRR22002282_pass_2			53.0%	47%	60.1
SRR22002283_GSM6665927_transcripts_quant	64.9%	43.5			
SRR22002283_pass_1			53.8%	48%	67.0
SRR22002283_pass_2			52.8%	49%	67.0
SRR22002284_GSM6665926_transcripts_quant	80.7%	54.1			
SRR22002284_pass_1			64.4%	49%	67.0
SRR22002284_pass_2			63.6%	50%	67.0
SRR22002285_GSM6665925_transcripts_quant	80.3%	48.9			
SRR22002285_pass_1			63.0%	49%	60.9
SRR22002285_pass_2			62.1%	50%	60.9
SRR22002286_GSM6665924_transcripts_quant	80.5%	48.7			
SRR22002286_pass_1			64.3%	51%	60.6
SRR22002286_pass_2			64.2%	51%	60.6
SRR22002287_GSM6665923_transcripts_quant	76.6%	47.4			
SRR22002287_pass_1			61.3%	49%	61.9
SRR22002287_pass_2			60.9%	50%	61.9
SRR22002288_GSM6665922_transcripts_quant	79.2%	51.5			
SRR22002288_pass_1			62.7%	49%	65.0
SRR22002288_pass_2			62.3%	50%	65.0
SRR22002289_GSM6665921_transcripts_quant	62.9%	35.0			
SRR22002289_pass_1			51.7%	48%	55.6
SRR22002289_pass_2			50.0%	48%	55.6
SRR22002290_GSM6665920_transcripts_quant	79.6%	55.1			
SRR22002290_pass_1			62.0%	49%	69.2
SRR22002290_pass_2			61.3%	49%	69.2
SRR22002291_GSM6665919_transcripts_quant	72.1%	46.9			
SRR22002291_pass_1			59.4%	49%	65.1
SRR22002291_pass_2			57.4%	49%	65.1
SRR22002292_GSM6665918_transcripts_quant	71.2%	40.8			
SRR22002292_pass_1			58.1%	50%	57.3
SRR22002292_pass_2			56.8%	50%	57.3
SRR22002293_GSM6665917_transcripts_quant	67.3%	47.1			
SRR22002293_pass_1			57.4%	48%	70.0
SRR22002293_pass_2			55.8%	48%	70.0
SRR22002294_GSM6665916_transcripts_quant	76.8%	48.4			
SRR22002294_pass_1			60.2%	49%	62.9
SRR22002294_pass_2			60.1%	49%	62.9
SRR22002295_GSM6665915_transcripts_quant	74.6%	49.6			
SRR22002295_pass_1			60.2%	51%	66.5
SRR22002295_pass_2			59.2%	51%	66.5
SRR22002296_GSM6665914_transcripts_quant	53.2%	41.7			
SRR22002296_pass_1			46.5%	46%	78.4
SRR22002296_pass_2			45.7%	46%	78.4
SRR22002297_GSM6665913_transcripts_quant	65.6%	48.2			
SRR22002297_pass_1			55.7%	49%	73.4
SRR22002297_pass_2			55.1%	49%	73.4
SRR22002298_GSM6665912_transcripts_quant	77.9%	48.1			
SRR22002298_pass_1			61.1%	49%	61.7
SRR22002298_pass_2			60.8%	49%	61.7
SRR22002299_GSM6665911_transcripts_quant	77.3%	47.4			
SRR22002299_pass_1			60.7%	49%	61.3
SRR22002299_pass_2			60.2%	49%	61.3
SRR22002300_GSM6665910_transcripts_quant	55.8%	30.0			
SRR22002300_pass_1			46.3%	48%	53.7
SRR22002300_pass_2			44.9%	48%	53.7
SRR22002301_GSM6665909_transcripts_quant	41.5%	25.2			
SRR22002301_pass_1			39.8%	48%	60.8
SRR22002301_pass_2			38.0%	47%	60.8
SRR22002302_GSM6665908_transcripts_quant	58.0%	35.2			
SRR22002302_pass_1			49.4%	48%	60.7
SRR22002302_pass_2			47.7%	48%	60.7
SRR22002303_GSM6665907_transcripts_quant	79.6%	54.8			
SRR22002303_pass_1			63.8%	49%	68.8
SRR22002303_pass_2			64.0%	49%	68.8
SRR22002304_GSM6665906_transcripts_quant	56.7%	36.6			
SRR22002304_pass_1			48.8%	48%	64.5
SRR22002304_pass_2			48.0%	48%	64.5
SRR22002305_GSM6665905_transcripts_quant	64.1%	44.0			
SRR22002305_pass_1			54.9%	49%	68.7
SRR22002305_pass_2			54.0%	49%	68.7
SRR22002306_GSM6665904_transcripts_quant	63.6%	33.6			
SRR22002306_pass_1			51.0%	49%	52.8
SRR22002306_pass_2			49.6%	49%	52.8
SRR22002307_GSM6665903_transcripts_quant	57.9%	31.8			
SRR22002307_pass_1			50.1%	49%	54.9
SRR22002307_pass_2			49.0%	49%	54.9
SRR22002308_GSM6665902_transcripts_quant	58.8%	36.3			
SRR22002308_pass_1			47.6%	47%	61.7
SRR22002308_pass_2			46.3%	47%	61.7
SRR22002309_GSM6665901_transcripts_quant	72.2%	41.6			
SRR22002309_pass_1			55.0%	49%	57.6
SRR22002309_pass_2			54.2%	49%	57.6
SRR22002310_GSM6665900_transcripts_quant	73.2%	54.6			
SRR22002310_pass_1			61.4%	49%	74.5
SRR22002310_pass_2			60.0%	49%	74.5
SRR22002311_GSM6665899_transcripts_quant	73.4%	40.0			
SRR22002311_pass_1			58.1%	50%	54.5
SRR22002311_pass_2			56.9%	50%	54.5
SRR22002312_GSM6665898_transcripts_quant	61.1%	38.9			
SRR22002312_pass_1			50.1%	49%	63.7
SRR22002312_pass_2			48.5%	49%	63.7
SRR22002313_GSM6665897_transcripts_quant	72.9%	49.8			
SRR22002313_pass_1			60.4%	49%	68.3
SRR22002313_pass_2			59.4%	49%	68.3
SRR22002314_GSM6665896_transcripts_quant	72.4%	47.0			
SRR22002314_pass_1			58.7%	49%	64.9
SRR22002314_pass_2			57.8%	49%	64.9
SRR22002315_GSM6665895_transcripts_quant	65.8%	35.6			
SRR22002315_pass_1			53.3%	49%	54.1
SRR22002315_pass_2			52.5%	49%	54.1
SRR22002316_GSM6665894_transcripts_quant	67.0%	36.6			
SRR22002316_pass_1			54.6%	50%	54.6
SRR22002316_pass_2			53.5%	50%	54.6
SRR22002317_GSM6665893_transcripts_quant	63.6%	37.6			
SRR22002317_pass_1			53.2%	47%	59.0
SRR22002317_pass_2			49.2%	48%	59.0
SRR22002318_GSM6665892_transcripts_quant	61.8%	46.0			
SRR22002318_pass_1			55.4%	47%	74.4
SRR22002318_pass_2			51.5%	48%	74.4
SRR22002319_GSM6665891_transcripts_quant	71.5%	49.2			
SRR22002319_pass_1			61.0%	48%	68.8
SRR22002319_pass_2			57.6%	48%	68.8
SRR22002320_GSM6665890_transcripts_quant	74.0%	55.6			
SRR22002320_pass_1			61.9%	48%	75.1
SRR22002320_pass_2			59.4%	48%	75.1
SRR22002321_GSM6665889_transcripts_quant	71.2%	51.4			
SRR22002321_pass_1			60.6%	48%	72.3
SRR22002321_pass_2			57.4%	48%	72.3
SRR22002322_GSM6665888_transcripts_quant	62.6%	42.7			
SRR22002322_pass_1			52.8%	47%	68.3
SRR22002322_pass_2			49.6%	47%	68.3
SRR22002323_GSM6665887_transcripts_quant	67.5%	63.1			
SRR22002323_pass_1			62.1%	47%	93.5
SRR22002323_pass_2			57.9%	48%	93.5
SRR22002324_GSM6665886_transcripts_quant	72.7%	62.3			
SRR22002324_pass_1			62.3%	48%	85.7
SRR22002324_pass_2			59.0%	48%	85.7
SRR22002325_GSM6665885_transcripts_quant	78.5%	62.2			
SRR22002325_pass_1			66.7%	48%	79.2
SRR22002325_pass_2			63.8%	49%	79.2
SRR22002326_GSM6665884_transcripts_quant	69.3%	49.9			
SRR22002326_pass_1			58.5%	48%	72.0
SRR22002326_pass_2			54.9%	48%	72.0
SRR22002327_GSM6665883_transcripts_quant	68.5%	48.8			
SRR22002327_pass_1			58.3%	48%	71.2
SRR22002327_pass_2			55.2%	48%	71.2
SRR22002328_GSM6665882_transcripts_quant	77.2%	56.4			
SRR22002328_pass_1			64.4%	48%	73.0
SRR22002328_pass_2			60.7%	48%	73.0
SRR22002329_GSM6665881_transcripts_quant	76.1%	55.1			
SRR22002329_pass_1			63.3%	48%	72.4
SRR22002329_pass_2			59.8%	49%	72.4
SRR22002330_GSM6665880_transcripts_quant	77.8%	61.9			
SRR22002330_pass_1			66.0%	49%	79.5
SRR22002330_pass_2			63.2%	49%	79.5
