Sample Name	% Aligned	M Aligned	% Dups	% GC	M Seqs
SRR10248437_pass_1			61.6%	44%	59.2
SRR10248437_pass_2			46.5%	43%	59.2
SRR10248438_GSM4114330_transcripts_quant	50.5%	42.8			
SRR10248438_pass_1			61.8%	46%	84.7
SRR10248438_pass_2			48.5%	46%	84.7
SRR10248439_GSM4114331_transcripts_quant	45.0%	18.8			
SRR10248439_pass_1			62.7%	43%	41.7
SRR10248439_pass_2			48.3%	42%	41.7
SRR10248440_GSM4114332_transcripts_quant	34.7%	27.0			
SRR10248440_pass_1			92.1%	55%	77.8
SRR10248440_pass_2			88.1%	55%	77.8
SRR10248441_GSM4114333_transcripts_quant	34.9%	31.6			
SRR10248441_pass_1			96.9%	55%	90.4
SRR10248441_pass_2			92.2%	56%	90.4
SRR10248442_GSM4114334_transcripts_quant	45.5%	19.5			
SRR10248442_pass_1			76.3%	43%	42.9
SRR10248442_pass_2			67.5%	43%	42.9
SRR10248443_GSM4114335_transcripts_quant	50.3%	21.4			
SRR10248443_pass_1			71.9%	43%	42.5
SRR10248443_pass_2			61.5%	42%	42.5
SRR10248444_GSM4114336_transcripts_quant	32.8%	15.9			
SRR10248444_pass_1			73.9%	48%	48.4
SRR10248444_pass_2			65.0%	49%	48.4
SRR10248445_GSM4114337_transcripts_quant	40.3%	32.6			
SRR10248445_pass_1			54.6%	47%	80.9
SRR10248445_pass_2			38.4%	47%	80.9
SRR10248446_GSM4114338_transcripts_quant	36.7%	15.6			
SRR10248446_pass_1			67.3%	42%	42.6
SRR10248446_pass_2			54.6%	41%	42.6
SRR10248447_GSM4114339_transcripts_quant	47.9%	37.9			
SRR10248447_pass_1			40.9%	45%	79.1
SRR10248447_pass_2			34.3%	45%	79.1
SRR10248448_GSM4114340_transcripts_quant	45.8%	20.5			
SRR10248448_pass_1			71.2%	44%	44.9
SRR10248448_pass_2			61.0%	44%	44.9
SRR10248449_GSM4114341_transcripts_quant	49.3%	27.0			
SRR10248449_pass_1			40.8%	46%	54.7
SRR10248449_pass_2			35.2%	46%	54.7
SRR10248450_GSM4114342_transcripts_quant	41.3%	19.1			
SRR10248450_pass_1			54.6%	47%	46.3
SRR10248450_pass_2			41.5%	47%	46.3
SRR10248451_GSM4114343_transcripts_quant	47.5%	30.5			
SRR10248451_pass_1			43.5%	46%	64.1
SRR10248451_pass_2			38.2%	46%	64.1
SRR10248452_GSM4114344_transcripts_quant	40.6%	11.2			
SRR10248452_pass_1			64.4%	44%	27.6
SRR10248452_pass_2			51.0%	44%	27.6
SRR10248453_GSM4114345_transcripts_quant	45.9%	22.7			
SRR10248453_pass_1			66.7%	44%	49.4
SRR10248453_pass_2			53.5%	43%	49.4
SRR10248454_GSM4114346_transcripts_quant	40.3%	24.6			
SRR10248454_pass_1			54.6%	47%	61.1
SRR10248454_pass_2			42.6%	46%	61.1
SRR10248455_GSM4114347_transcripts_quant	33.4%	4.6			
SRR10248455_pass_1			70.6%	48%	13.7
SRR10248455_pass_2			64.3%	49%	13.7
SRR10248456_GSM4114348_transcripts_quant	43.7%	33.6			
SRR10248456_pass_1			66.9%	44%	76.9
SRR10248456_pass_2			55.5%	43%	76.9
SRR10248457_GSM4114349_transcripts_quant	46.1%	33.3			
SRR10248457_pass_1			42.0%	45%	72.2
SRR10248457_pass_2			35.7%	45%	72.2
SRR10248458_GSM4114350_transcripts_quant	45.8%	29.3			
SRR10248458_pass_1			38.7%	46%	64.0
SRR10248458_pass_2			31.0%	46%	64.0
SRR10248459_GSM4114351_transcripts_quant	42.1%	42.5			
SRR10248459_pass_1			68.6%	41%	100.8
SRR10248459_pass_2			56.9%	40%	100.8
SRR10248460_GSM4114352_transcripts_quant	48.5%	39.3			
SRR10248460_pass_1			47.5%	48%	81.1
SRR10248460_pass_2			41.6%	48%	81.1
SRR10248461_GSM4114353_transcripts_quant	46.3%	33.5			
SRR10248461_pass_1			40.8%	46%	72.2
SRR10248461_pass_2			35.0%	46%	72.2
SRR10248462_GSM4114354_transcripts_quant	50.1%	42.1			
SRR10248462_pass_1			56.2%	46%	84.0
SRR10248462_pass_2			47.5%	45%	84.0
SRR10248463_GSM4114355_transcripts_quant	46.5%	110.1			
SRR10248463_pass_1			55.8%	48%	236.5
SRR10248463_pass_2			49.9%	48%	236.5
SRR10248464_GSM4114356_transcripts_quant	43.4%	22.3			
SRR10248464_pass_1			43.8%	46%	51.4
SRR10248464_pass_2			38.4%	46%	51.4
SRR10248465_GSM4114357_transcripts_quant	39.4%	15.4			
SRR10248465_pass_1			38.5%	42%	39.0
SRR10248465_pass_2			31.7%	43%	39.0
SRR10248466_GSM4114358_transcripts_quant	47.5%	41.4			
SRR10248466_pass_1			47.9%	46%	87.1
SRR10248466_pass_2			40.9%	46%	87.1
SRR10248467_GSM4114359_transcripts_quant	50.5%	49.3			
SRR10248467_pass_1			48.7%	46%	97.7
SRR10248467_pass_2			39.2%	46%	97.7
SRR10248468_GSM4114360_transcripts_quant	37.0%	37.4			
SRR10248468_pass_1			57.9%	49%	101.3
SRR10248468_pass_2			51.5%	49%	101.3
SRR10248469_GSM4114361_transcripts_quant	41.9%	19.7			
SRR10248469_pass_1			51.0%	48%	46.9
SRR10248469_pass_2			44.6%	50%	46.9
SRR10248470_GSM4114362_transcripts_quant	39.0%	26.1			
SRR10248470_pass_1			67.1%	55%	67.0
SRR10248470_pass_2			61.0%	58%	67.0
SRR10248471_GSM4114363_transcripts_quant	45.1%	51.5			
SRR10248471_pass_1			45.7%	46%	114.2
SRR10248471_pass_2			36.7%	47%	114.2
SRR10248472_GSM4114364_transcripts_quant	49.6%	20.8			
SRR10248472_pass_1			66.4%	43%	41.9
SRR10248472_pass_2			53.4%	43%	41.9
SRR10248473_GSM4114365_transcripts_quant	44.0%	27.4			
SRR10248473_pass_1			62.3%	49%	62.3
SRR10248473_pass_2			54.9%	50%	62.3
SRR10248474_GSM4114366_transcripts_quant	41.5%	12.4			
SRR10248474_pass_1			73.0%	39%	29.8
SRR10248474_pass_2			65.0%	38%	29.8
SRR10248475_GSM4114367_transcripts_quant	47.6%	29.5			
SRR10248475_pass_1			70.4%	50%	61.9
SRR10248475_pass_2			65.1%	50%	61.9
SRR10248476_GSM4114368_transcripts_quant	49.9%	60.9			
SRR10248476_pass_1			92.4%	44%	122.0
SRR10248476_pass_2			86.1%	43%	122.0
SRR10248477_GSM4114369_transcripts_quant	43.1%	33.0			
SRR10248477_pass_1			77.0%	51%	76.6
SRR10248477_pass_2			72.2%	52%	76.6
SRR10248478_GSM4114370_transcripts_quant	42.9%	35.6			
SRR10248478_pass_1			53.8%	44%	82.9
SRR10248478_pass_2			43.0%	44%	82.9
SRR10248479_GSM4114371_transcripts_quant	49.3%	148.8			
SRR10248479_pass_1			92.0%	44%	301.5
SRR10248479_pass_2			86.3%	43%	301.5
SRR10248480_GSM4114372_transcripts_quant	34.2%	28.4			
SRR10248480_pass_1			90.7%	56%	83.1
SRR10248480_pass_2			88.1%	55%	83.1
SRR10248481_GSM4114373_transcripts_quant	49.1%	145.9			
SRR10248481_pass_1			94.3%	44%	297.1
SRR10248481_pass_2			90.5%	43%	297.1
SRR10248482_GSM4114374_transcripts_quant	30.7%	26.0			
SRR10248482_pass_1			97.1%	57%	84.8
SRR10248482_pass_2			94.8%	58%	84.8
SRR10248483_GSM4114375_transcripts_quant	32.0%	25.9			
SRR10248483_pass_1			94.4%	56%	81.0
SRR10248483_pass_2			92.0%	56%	81.0
SRR10248484_GSM4114376_transcripts_quant	30.8%	14.9			
SRR10248484_pass_1			94.8%	56%	48.3
SRR10248484_pass_2			91.9%	57%	48.3
SRR10248485_GSM4114377_transcripts_quant	29.6%	14.6			
SRR10248485_pass_1			94.9%	57%	49.1
SRR10248485_pass_2			92.2%	57%	49.1
SRR10248486_GSM4114378_transcripts_quant	30.3%	26.6			
SRR10248486_pass_1			96.6%	57%	87.9
SRR10248486_pass_2			93.8%	58%	87.9
SRR10248487_GSM4114379_transcripts_quant	40.8%	25.5			
SRR10248487_pass_1			44.9%	45%	62.4
SRR10248487_pass_2			33.2%	45%	62.4
SRR10248488_GSM4114380_transcripts_quant	37.8%	26.1			
SRR10248488_pass_1			52.6%	47%	69.1
SRR10248488_pass_2			41.4%	48%	69.1
SRR10248489_GSM4114381_transcripts_quant	34.1%	33.2			
SRR10248489_pass_1			57.4%	46%	97.5
SRR10248489_pass_2			43.6%	46%	97.5
SRR10248490_GSM4114382_transcripts_quant	39.9%	29.8			
SRR10248490_pass_1			51.0%	43%	74.6
SRR10248490_pass_2			34.7%	44%	74.6
SRR10248491_GSM4114383_transcripts_quant	43.7%	48.8			
SRR10248491_pass_1			49.3%	45%	111.7
SRR10248491_pass_2			36.8%	45%	111.7
SRR10248492_GSM4114384_transcripts_quant	36.4%	25.2			
SRR10248492_pass_1			62.8%	49%	69.1
SRR10248492_pass_2			51.9%	51%	69.1
SRR10248493_GSM4114385_transcripts_quant	27.0%	21.0			
SRR10248493_pass_1			65.3%	51%	77.6
SRR10248493_pass_2			56.7%	52%	77.6
SRR10248494_GSM4114386_transcripts_quant	43.6%	37.4			
SRR10248494_pass_1			48.6%	45%	85.8
SRR10248494_pass_2			33.9%	45%	85.8
SRR10248495_GSM4114387_transcripts_quant	44.8%	18.9			
SRR10248495_pass_1			65.2%	44%	42.2
SRR10248495_pass_2			54.4%	43%	42.2
SRR10248496_GSM4114388_transcripts_quant	26.5%	30.9			
SRR10248496_pass_1			68.4%	49%	116.9
SRR10248496_pass_2			55.0%	49%	116.9
SRR10248497_GSM4114389_transcripts_quant	34.2%	41.7			
SRR10248497_pass_1			62.1%	48%	121.9
SRR10248497_pass_2			47.5%	48%	121.9
SRR10248498_GSM4114390_transcripts_quant	38.0%	25.1			
SRR10248498_pass_1			65.2%	49%	66.1
SRR10248498_pass_2			54.1%	49%	66.1
SRR10248499_GSM4114391_transcripts_quant	43.4%	21.4			
SRR10248499_pass_1			56.3%	46%	49.3
SRR10248499_pass_2			41.8%	45%	49.3
SRR10248500_GSM4114392_transcripts_quant	16.2%	9.1			
SRR10248500_pass_1			77.9%	55%	55.9
SRR10248500_pass_2			64.2%	57%	55.9
SRR10248501_GSM4114393_transcripts_quant	45.6%	26.4			
SRR10248501_pass_1			59.1%	48%	57.8
SRR10248501_pass_2			45.3%	49%	57.8
