Sample Name	% Aligned	M Aligned	% Dups	% GC	Length	M Seqs
SRR11517734_GSM4462415_transcripts_quant	1.1%	0.0				
SRR11517734_pass			97.0%	73%	150 bp	2.6
SRR11517735_GSM4462415_transcripts_quant	1.1%	0.0				
SRR11517735_pass			97.9%	73%	150 bp	2.7
SRR11517736_GSM4462415_transcripts_quant	1.1%	0.0				
SRR11517736_pass			97.9%	73%	150 bp	2.6
SRR11517737_GSM4462416_transcripts_quant	17.3%	0.4				
SRR11517737_pass			87.8%	68%	141 bp	2.4
SRR11517738_GSM4462416_transcripts_quant	17.3%	0.4				
SRR11517738_pass			87.6%	68%	141 bp	2.3
SRR11517739_GSM4462416_transcripts_quant	17.5%	0.4				
SRR11517739_pass			89.1%	68%	141 bp	2.4
SRR11517740_GSM4462416_transcripts_quant	17.3%	0.4				
SRR11517740_pass			89.1%	68%	141 bp	2.4
SRR11517741_GSM4462345_transcripts_quant	26.4%	6.2				
SRR11517741_pass			85.7%	47%	135 bp	23.6
SRR11517742_GSM4462346_transcripts_quant	28.9%	1.7				
SRR11517742_pass			71.5%	47%	135 bp	5.7
SRR11517743_GSM4462347_transcripts_quant	28.3%	1.4				
SRR11517743_pass			75.6%	46%	137 bp	4.8
SRR11517744_GSM4462348_transcripts_quant	91.8%	8.6				
SRR11517744_pass			60.8%	51%	136 bp	9.3
SRR11517745_GSM4462349_transcripts_quant	89.1%	15.5				
SRR11517745_pass			66.8%	53%	137 bp	17.4
SRR11517746_GSM4462350_transcripts_quant	91.7%	34.7				
SRR11517746_pass			72.2%	52%	137 bp	37.8
SRR11517747_GSM4462351_transcripts_quant	78.2%	18.5				
SRR11517747_pass			68.4%	49%	137 bp	23.6
SRR11517748_GSM4462352_transcripts_quant	73.8%	10.0				
SRR11517748_pass			70.3%	48%	141 bp	13.6
SRR11517749_GSM4462353_transcripts_quant	69.9%	20.0				
SRR11517749_pass			71.2%	50%	135 bp	28.7
SRR11517750_GSM4462354_transcripts_quant	89.8%	5.1				
SRR11517750_pass			64.8%	54%	139 bp	5.7
SRR11517751_GSM4462355_transcripts_quant	92.0%	5.9				
SRR11517751_pass			48.6%	51%	142 bp	6.5
SRR11517752_GSM4462356_transcripts_quant	91.2%	10.3				
SRR11517752_pass			56.6%	50%	142 bp	11.3
SRR11517753_GSM4462357_transcripts_quant	78.0%	14.2				
SRR11517753_pass			65.1%	48%	143 bp	18.3
SRR11517754_GSM4462358_transcripts_quant	72.7%	7.3				
SRR11517754_pass			63.0%	48%	139 bp	10.1
SRR11517755_GSM4462359_transcripts_quant	75.7%	12.9				
SRR11517755_pass			66.8%	48%	140 bp	17.0
SRR11517756_GSM4462360_transcripts_quant	82.5%	18.5				
SRR11517756_pass			74.8%	46%	132 bp	22.5
SRR11517757_GSM4462361_transcripts_quant	83.6%	12.6				
SRR11517757_pass			62.1%	49%	144 bp	15.1
SRR11517758_GSM4462362_transcripts_quant	82.9%	15.8				
SRR11517758_pass			69.3%	47%	135 bp	19.1
SRR11517759_GSM4462363_transcripts_quant	93.4%	1.4				
SRR11517759_pass			29.1%	51%	143 bp	1.5
SRR11517760_GSM4462363_transcripts_quant	93.4%	1.5				
SRR11517760_pass			29.3%	51%	143 bp	1.6
SRR11517761_GSM4462363_transcripts_quant	93.4%	1.4				
SRR11517761_pass			29.1%	51%	143 bp	1.5
SRR11517762_GSM4462363_transcripts_quant	93.5%	1.4				
SRR11517762_pass			29.0%	51%	143 bp	1.5
SRR11517763_GSM4462364_transcripts_quant	92.8%	1.5				
SRR11517763_pass			29.5%	51%	143 bp	1.6
SRR11517764_GSM4462364_transcripts_quant	92.8%	1.5				
SRR11517764_pass			29.6%	51%	143 bp	1.6
SRR11517765_GSM4462364_transcripts_quant	92.8%	1.5				
SRR11517765_pass			29.3%	51%	143 bp	1.6
SRR11517766_GSM4462364_transcripts_quant	92.8%	1.4				
SRR11517766_pass			29.5%	51%	143 bp	1.6
SRR11517767_GSM4462365_transcripts_quant	88.0%	1.8				
SRR11517767_pass			30.7%	51%	141 bp	2.0
SRR11517768_GSM4462365_transcripts_quant	88.2%	1.8				
SRR11517768_pass			30.8%	51%	141 bp	2.1
SRR11517769_GSM4462365_transcripts_quant	88.5%	1.9				
SRR11517769_pass			30.7%	51%	141 bp	2.2
SRR11517770_GSM4462365_transcripts_quant	87.7%	1.8				
SRR11517770_pass			30.7%	51%	141 bp	2.1
SRR11517771_GSM4462366_transcripts_quant	88.2%	3.4				
SRR11517771_pass			34.7%	51%	141 bp	3.8
SRR11517772_GSM4462366_transcripts_quant	88.4%	3.5				
SRR11517772_pass			35.0%	50%	141 bp	3.9
SRR11517773_GSM4462366_transcripts_quant	88.6%	3.6				
SRR11517773_pass			34.9%	51%	141 bp	4.1
SRR11517774_GSM4462366_transcripts_quant	88.0%	3.4				
SRR11517774_pass			34.6%	50%	141 bp	3.9
SRR11517775_GSM4462367_transcripts_quant	72.6%	7.7				
SRR11517775_pass			52.4%	51%	117 bp	10.7
SRR11517776_GSM4462367_transcripts_quant	72.6%	7.7				
SRR11517776_pass			52.3%	51%	117 bp	10.6
SRR11517777_GSM4462367_transcripts_quant	72.7%	8.1				
SRR11517777_pass			52.8%	51%	117 bp	11.1
SRR11517778_GSM4462367_transcripts_quant	72.3%	7.8				
SRR11517778_pass			53.1%	51%	117 bp	10.8
SRR11517779_GSM4462368_transcripts_quant	66.4%	1.8				
SRR11517779_pass			42.8%	54%	119 bp	2.7
SRR11517780_GSM4462368_transcripts_quant	65.9%	1.8				
SRR11517780_pass			43.1%	54%	119 bp	2.7
SRR11517781_GSM4462368_transcripts_quant	67.0%	1.9				
SRR11517781_pass			42.6%	54%	119 bp	2.8
SRR11517782_GSM4462368_transcripts_quant	65.5%	1.8				
SRR11517782_pass			42.8%	54%	119 bp	2.7
SRR11517783_GSM4462369_transcripts_quant	78.7%	2.0				
SRR11517783_pass			31.3%	50%	122 bp	2.5
SRR11517784_GSM4462369_transcripts_quant	78.4%	1.9				
SRR11517784_pass			31.1%	50%	122 bp	2.5
SRR11517785_GSM4462369_transcripts_quant	78.4%	1.9				
SRR11517785_pass			30.4%	50%	122 bp	2.5
SRR11517786_GSM4462369_transcripts_quant	78.2%	2.0				
SRR11517786_pass			31.0%	50%	122 bp	2.5
SRR11517787_GSM4462370_transcripts_quant	76.7%	1.0				
SRR11517787_pass			31.0%	49%	132 bp	1.3
SRR11517788_GSM4462370_transcripts_quant	76.4%	1.0				
SRR11517788_pass			30.4%	49%	132 bp	1.3
SRR11517789_GSM4462370_transcripts_quant	76.2%	1.0				
SRR11517789_pass			30.0%	49%	131 bp	1.3
SRR11517790_GSM4462370_transcripts_quant	76.2%	1.0				
SRR11517790_pass			30.2%	49%	131 bp	1.3
SRR11517791_GSM4462371_transcripts_quant	85.4%	3.1				
SRR11517791_pass			33.8%	50%	141 bp	3.6
SRR11517792_GSM4462371_transcripts_quant	85.5%	3.2				
SRR11517792_pass			34.0%	50%	141 bp	3.7
SRR11517793_GSM4462371_transcripts_quant	85.7%	3.3				
SRR11517793_pass			33.9%	50%	142 bp	3.8
SRR11517794_GSM4462371_transcripts_quant	85.1%	3.1				
SRR11517794_pass			34.1%	50%	141 bp	3.7
SRR11517795_GSM4462372_transcripts_quant	84.4%	1.9				
SRR11517795_pass			32.0%	53%	143 bp	2.2
SRR11517796_GSM4462372_transcripts_quant	84.8%	2.0				
SRR11517796_pass			32.3%	52%	143 bp	2.3
SRR11517797_GSM4462372_transcripts_quant	84.8%	2.0				
SRR11517797_pass			32.6%	53%	143 bp	2.4
SRR11517798_GSM4462372_transcripts_quant	84.2%	1.9				
SRR11517798_pass			31.8%	52%	143 bp	2.3
SRR11517799_GSM4462373_transcripts_quant	76.9%	2.6				
SRR11517799_pass			35.5%	50%	127 bp	3.4
SRR11517800_GSM4462373_transcripts_quant	76.8%	2.6				
SRR11517800_pass			35.0%	50%	127 bp	3.4
SRR11517801_GSM4462373_transcripts_quant	76.5%	2.5				
SRR11517801_pass			34.3%	50%	126 bp	3.3
SRR11517802_GSM4462373_transcripts_quant	76.5%	2.6				
SRR11517802_pass			35.0%	50%	126 bp	3.4
SRR11517803_GSM4462374_transcripts_quant	69.5%	4.0				
SRR11517803_pass			52.9%	52%	127 bp	5.8
SRR11517804_GSM4462374_transcripts_quant	69.2%	3.9				
SRR11517804_pass			52.4%	52%	127 bp	5.7
SRR11517805_GSM4462374_transcripts_quant	68.9%	3.9				
SRR11517805_pass			52.3%	52%	126 bp	5.6
SRR11517806_GSM4462374_transcripts_quant	68.9%	4.0				
SRR11517806_pass			52.9%	52%	126 bp	5.8
SRR11517807_GSM4462375_transcripts_quant	90.3%	3.9				
SRR11517807_pass			38.8%	51%	144 bp	4.3
SRR11517808_GSM4462375_transcripts_quant	90.4%	4.1				
SRR11517808_pass			39.1%	51%	144 bp	4.5
SRR11517809_GSM4462375_transcripts_quant	90.4%	3.9				
SRR11517809_pass			38.2%	51%	144 bp	4.3
SRR11517810_GSM4462375_transcripts_quant	90.2%	4.0				
SRR11517810_pass			38.8%	51%	144 bp	4.4
SRR11517811_GSM4462376_transcripts_quant	86.5%	3.7				
SRR11517811_pass			40.5%	51%	143 bp	4.3
SRR11517812_GSM4462376_transcripts_quant	86.6%	3.8				
SRR11517812_pass			40.7%	51%	143 bp	4.4
SRR11517813_GSM4462376_transcripts_quant	86.4%	3.6				
SRR11517813_pass			39.9%	51%	143 bp	4.2
SRR11517814_GSM4462376_transcripts_quant	86.3%	3.7				
SRR11517814_pass			40.6%	51%	143 bp	4.3
SRR11517815_GSM4462377_transcripts_quant	89.0%	2.8				
SRR11517815_pass			33.4%	50%	145 bp	3.1
SRR11517816_GSM4462377_transcripts_quant	88.9%	2.9				
SRR11517816_pass			33.7%	50%	145 bp	3.2
SRR11517817_GSM4462377_transcripts_quant	88.9%	2.7				
SRR11517817_pass			32.8%	50%	145 bp	3.1
SRR11517818_GSM4462377_transcripts_quant	88.8%	2.8				
SRR11517818_pass			33.5%	50%	145 bp	3.2
SRR11517819_GSM4462378_transcripts_quant	89.1%	2.6				
SRR11517819_pass			32.9%	50%	146 bp	2.9
SRR11517820_GSM4462378_transcripts_quant	89.1%	2.7				
SRR11517820_pass			33.2%	50%	146 bp	3.0
SRR11517821_GSM4462378_transcripts_quant	89.0%	2.5				
SRR11517821_pass			32.2%	50%	146 bp	2.8
SRR11517822_GSM4462378_transcripts_quant	88.9%	2.6				
SRR11517822_pass			32.9%	50%	146 bp	2.9
SRR11517823_GSM4462379_transcripts_quant	88.2%	2.6				
SRR11517823_pass			33.1%	50%	147 bp	2.9
SRR11517824_GSM4462379_transcripts_quant	88.3%	2.7				
SRR11517824_pass			33.3%	50%	147 bp	3.1
SRR11517825_GSM4462379_transcripts_quant	88.3%	2.5				
SRR11517825_pass			32.3%	50%	147 bp	2.9
SRR11517826_GSM4462379_transcripts_quant	88.1%	2.6				
SRR11517826_pass			33.2%	50%	147 bp	3.0
SRR11517827_GSM4462380_transcripts_quant	90.6%	2.6				
SRR11517827_pass			33.7%	51%	147 bp	2.8
SRR11517828_GSM4462380_transcripts_quant	90.6%	2.7				
SRR11517828_pass			34.3%	51%	147 bp	2.9
SRR11517829_GSM4462380_transcripts_quant	90.5%	2.5				
SRR11517829_pass			33.2%	51%	147 bp	2.8
SRR11517830_GSM4462380_transcripts_quant	90.4%	2.6				
SRR11517830_pass			33.9%	51%	147 bp	2.9
